occPerM, word
51, ahh
63, alex
43, ap
505, ass
45, atl
94, aww
59, awww
364, b
76, bieber
320, bitch
109, bitches
68, butt
248, c
131, chris
44, christian
57, cleveland
975, d
174, da
476, damn
46, dan
111, david
46, davis
186, dc
112, de
109, dick
118, didnt
50, disney
218, dm
55, dnt
73, doesnt
62, doin
603, dont
91, e
48, el
192, em
43, ep
40, eric
89, f
40, fl
41, fri
488, fuck
56, fucked
75, fuckin
296, fucking
113, g
80, george
77, gettin
50, h
53, havent
372, hell
1254, im
94, ima
66, imma
46, isnt
81, ive
79, j
51, jeff
85, jersey
130, jesus
96, joe
195, john
50, johnson
59, jones
47, jordan
60, josh
247, k
59, kno
68, l
56, lebron
47, lee
150, lil
174, m
60, ma
53, martin
114, mike
437, n
45, nc
236, nd
49, netflix
169, nigga
87, niggas
88, nite
138, ny
201, nyc
281, o
155, obama
42, ohh
43, okc
459, omg
82, oo
50, orlando
410, p
111, paul
49, pittsburgh
49, pls
75, plz
51, prob
121, q
373, r
77, romney
51, ron
80, ryan
610, s
41, sam
41, sarah
65, scott
691, shit
163, smh
60, smith
103, t
43, talkin
122, texas
813, th
44, tha
285, thats
50, tht
54, tonite
57, tryna
50, tx
50, ty
86, v
738, w
76, washington
43, wi
46, williams
67, wisconsin
41, wo
99, wont
137, wtf
246, x
131, xd
62, xo
56, xx
106, y
137, yep
100, yr
75, yrs
54, yu
